bq1,C
bq2,C
bq3,C
bq4,C
bq4_1a,NL
bq4_1b,NL
bq4_1c,NL
bq5,C
bq5_1,NL
bq5_2,NL
bq6,C
bq7,C
bq8_1,NM
bq8_2,NM
bq8_3,NM
bq9,NM
bq10,NM
bq11,NM
bq12_1,NM
bq12_2,NM
bq12_3,NM
bq12_4,NM
bq12_5,NM
bq13_1,NM
bq13_2,NM
bq13_3,NM
bq14_1,NM
bq14_2,NM
bq14_3,NM
bq14_4,NM
bq14_5,NM
bq15,NM
bq16_1,NM
bq16_2,NM
bq16_3,NM
bq16_4,NM
bq16_5,NM
bq17,NM
bq18_1,C
bq18_2,C
bq18_3,C
bq18_4,C
bq18_5,C
bq18_6,C
bq18_7,C
bq18_8,C
bq18_9,C
bq18_10,NL
bq19,NM
bq20,NM
bq20_1,NL
bq21_1,NM
bq21_2,NM
bq21_3,NM
bq22,NL
bq23,NL
bq24,NL
bq25,C
bq26,NM
bq27,C
bq27_1,NL
bq28,C
bq28_1,C
bq28_2,C
bq29,C
bq30,NM
bq31_1,NM
bq31_2,NM
bq31_3,NM
