bq1,C
bq2,C
bq3,C
bq4,C
bq4_1a,NL
bq4_1b,NL
bq4_1c,NL
bq5,C
bq5_1,C
bq5_2,NL
bq6,C
bq7,C
bq8_1,NM
bq8_2,NM
bq8_3,NM
bq9,NM
bq10,NM
bq11,NM
bq12_1,NM
bq12_2,NM
bq12_3,NM
bq12_4,NM
bq12_5,NM
bq13,C
bq14,C
bq15,C
bq16,C
bq17,C
bq18,C
bq19,C
bq20,C
bq21,NM
bq221,C
bq222,C
bq223,C
bq231,C
bq232,C
bq233,C
bq234,C
bq235,C
bq241,C
bq242,C
bq243,C
bq244,C
bq245,C
bq25,C
bq25_1,C
bq26_1,C
bq26_1a,C
bq26_2,C
bq26_2a,C
bq26_3,C
bq26_3a,C
bq26_4,C
bq26_4a,C
bq27,C
bq28,NM
bq28_1,NL
bq29,NL
bq30,NL
bq31,NL
bq32,NL
bq33,NL
bq34,NM
bq35,C
bq36,NM
bq37,C
bq37_1,NL
bq38,C
bq38_1,C
bq38_2,C
bq39,C
bq40,NM
bq41_1,NM
bq41_2,NM
bq41_3,NM
