bq1,C
bq2,C
bq3,C
bq4,C
bq4_1a,NL
bq4_1b,NL
bq4_1c,NL
bq5,C
bq5_1,C
bq5_2,NL
bq6,C
bq7,C
bq8_1,NM
bq8_2,NM
bq8_3,NM
bq9,NM
bq10,NM
bq11,NM
bq12_1,NM
bq12_2,NM
bq12_3,NM
bq12_4,NM
bq12_5,NM
bq13,NM
bq14,NM
bq15_1,NM
bq15_2,NM
bq15_3,NM
bq16,NM
bq17,NM
bq18_1,NM
bq18_2,NM
bq18_3,NM
bq18_4,NM
bq18_5,NM
bq18_6,NM
bq18_7,NM
bq19,NM
bq19_1,NL
bq20,NM
bq21,NM
bq22,NM
bq23,NM
bq24_1,C
bq24_2,C
bq24_3,C
bq24_4,C
bq24_5,C
bq24_6,C
bq24_7,C
bq24_8,C
bq25,NM
bq26,NM
bq27,NM
bq28,NM
bq29,NM
bq30,NL
bq31,NL
bq32,NL
bq33,NL
bq34,NL
bq35,NM
bq36,C
bq37,NM
bq38,C
bq38_1,NL
bq39_1,C
bq39_2,C
bq40,C
bq41_1,NM
bq41_2,NM
bq41_3,NM
